Code,Description,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Colour,Standard Qty,Type,remark
Z01A2362,Sil Finisher Box 598 x 508 x 752 0201 Glued Plain 125K/125T,Sil,Finisher,Box,598,x,508,x,752,0201,Glued,Plain,125K/125T,,,,,,-,1,-,-
Z01A2367,Regrind Polyprop White Material per Kg,Regrind,Polyprop,White,Material,per,Kg,,,,,,,,,,,,-,1,-,-
Z01A2371,Masterbatch Universal Red Material per Kg,Masterbatch,Universal,Red,Material,per,Kg,,,,,,,,,,,,-,1,-,-
Z01A2372,Masterbatch verge Charcoal UV Stabile For Natural PP per Kg,Masterbatch,verge,Charcoal,UV,Stabile,For,Natural,PP,per,Kg,,,,,,,,-,1,-,-
Z01A2373,Masterbatch Universal Aqua Material per Kg,Masterbatch,Universal,Aqua,Material,per,Kg,,,,,,,,,,,,-,1,-,-
Z01A2374,Masterbatch Universal White Material per Kg,Masterbatch,Universal,White,Material,per,Kg,,,,,,,,,,,,-,1,-,-
Z01A2409,Tropical Fish Food 12g (King British),Tropical,Fish,Food,12g,(King,British),,,,,,,,,,,,-,1,-,-
Z01A2412,Free Issue ALF Various Ornament Types,Free,Issue,ALF,Various,Ornament,Types,,,,,,,,,,,,-,1,-,-
Z01A2413,Masterbatch Universal Brown Tint Material per Kg,Masterbatch,Universal,Brown,Tint,Material,per,Kg,,,,,,,,,,,-,1,-,-
Z01A2414,Masterbatch Universal Green Tint Material per Kg,Masterbatch,Universal,Green,Tint,Material,per,Kg,,,,,,,,,,,-,1,-,-
Z01A2415,Masterbatch Universal Purple Tint Material per Kg,Masterbatch,Universal,Purple,Tint,Material,per,Kg,,,,,,,,,,,-,1,-,-
Z01A2416,Masterbatch Universal Pink Material per Kg,Masterbatch,Universal,Pink,Material,per,Kg,,,,,,,,,,,,-,1,-,-
Z01A2417,Masterbatch Universal Yellow Material per Kg,Masterbatch,Universal,Yellow,Material,per,Kg,,,,,,,,,,,,-,1,-,-
Z01A2418,Masterbatch Universal UV Green Material per Kg,Masterbatch,Universal,UV,Green,Material,per,Kg,,,,,,,,,,,-,1,-,-
Z01A2419,Masterbatch Universal Purple Material per Kg,Masterbatch,Universal,Purple,Material,per,Kg,,,,,,,,,,,,-,1,-,-
Z01A2429,Jazz Polypropylene Regrind Hi Melt (MFI 40) Per kg,Jazz,Polypropylene,Regrind,Hi,Melt,(MFI,40),Per,kg,,,,,,,,,-,1,-,-
Z01A2433,PolypropyleneCP repro grubby natural material per Kg,PolypropyleneCP,repro,grubby,natural,material,per,Kg,,,,,,,,,,,-,1,-,-
Z01A2439,30% Talc Filled Blue Polypropylene Per Kg,30%,Talc,Filled,Blue,Polypropylene,Per,Kg,,,,,,,,,,,-,1,-,-
Z01A2440,10% Talc Filled White Polypropylene Per Kg,10%,Talc,Filled,White,Polypropylene,Per,Kg,,,,,,,,,,,-,1,-,-
Z01A245,6mm Bridport Gravel Per Kg,6mm,Bridport,Gravel,Per,Kg,,,,,,,,,,,,,-,1,-,-
Z01A2452,90mm Wide 2855 Clear Medium Adhesion Tape Sil Finisher,90mm,Wide,2855,Clear,Medium,Adhesion,Tape,Sil,Finisher,,,,,,,,,-,1,-,-
Z01A2453,Bayblend Natural 20% Glass Filled,Bayblend,Natural,20%,Glass,Filled,,,,,,,,,,,,,-,1,-,-
Z01A2457,Jazz Glassfill Nylon Regrind Per kg,Jazz,Glassfill,Nylon,Regrind,Per,kg,,,,,,,,,,,,-,1,-,-
Z01A2461,Hips White Material Per Kg,Hips,White,Material,Per,Kg,,,,,,,,,,,,,-,1,-,-
Z01A2462,Regrind P.B.T. Material Per Kg,Regrind,P.B.T.,Material,Per,Kg,,,,,,,,,,,,,-,1,-,-
Z01A2469,Polystyrene Tray for Cab Free Issue,Polystyrene,Tray,for,Cab,Free,Issue,,,,,,,,,,,,-,1,-,-
Z01A248,Netting-White Minin85 Per Metre,Netting-White,Minin85,Per,Metre,,,,,,,,,,,,,,-,1,-,-
Z01A2481,100gm Woven Weedfabric Bulk Roll,100gm,Woven,Weedfabric,Bulk,Roll,,,,,,,,,,,,,-,1,-,-
Z01A2482,Free Issue From Cab Black PPE Tray,Free,Issue,From,Cab,Black,PPE,Tray,,,,,,,,,,,-,1,-,-
Z01A2484,30% Glass Filled Nylon  Regrind (Grey With UV Stabiliser) Pe,30%,Glass,Filled,Nylon,,Regrind,(Grey,With,UV,Stabiliser),Pe,,,,,,,-,1,-,-
Z01A2486,Sub Assembly Gluing Memory/Standard Foam,Sub,Assembly,Gluing,Memory/Standard,Foam,,,,,,,,,,,,,-,1,-,-
Z01A2487,Graphite OM7994 PP Masterbatch per kg,Graphite,OM7994,PP Masterbatch,per,kg,,,,,,,,,,,,,-,1,-,-
Z01A2488,Polypropylene Charcoal Grey Compound U/V Stabiliser  per Kg,Polypropylene,Charcoal,Grey,Compound,U/V,Stabiliser,,per,Kg,,,,,,,,,-,1,-,-
Z01A2489,U.V. 592  2% Natural Stabiliser for Polyprop per kg,U.V.,592 ,2%,Natural,Stabiliser,for,Polyprop,per,kg,,,,,,,,,-,1,-,-
Z01A2491,Polypropylene Chocolate Brown Compound U/V Stabiliser per Kg,Polypropylene,Chocolate,Brown,Compound,U/V,Stabiliser,per,Kg,,,,,,,,,,-,1,-,-
Z01A2492,Polypropylene Terracotta Compound with U/V Stabiliser per kg,Polypropylene,Terracotta,Compound,with,U/V,Stabiliser,per,kg,,,,,,,,,,-,1,-,-
Z01A2493,PC/ABS 65/35 High Impact Jet (Upper Side Trim),PC/ABS,65/35,High,Impact,Jet,(Upper,Side,Trim),,,,,,,,,,-,1,-,-
Z01A2496,Polypropylene HI Black Compound Type 16447 IZOD7-15 MFI 9-13,Polypropylene,HI,Black,Compound,Type,16447,IZOD7-15,MFI,9-13,,,,,,,,,-,1,-,-
Z01A2498,Polypropylene Black Compound Type 16438 IZOD 30+ MFI 2-3,Polypropylene,Black,Compound,Type,16438,IZOD,30+,MFI,2-3,,,,,,,,,-,1,-,-
Z01A2499,Non Standard ABS Material per Kg,Non,Standard,ABS,Material,per,Kg,,,,,,,,,,,,-,1,-,-
Z01A2500,Non Standard Nylon Material per Kg,Non,Standard,Nylon,Material,per,Kg,,,,,,,,,,,,-,1,-,-
Z01A2501,Non Standard Talc Filled Polyprop Material per Kg,Non,Standard,Talc,Filled,Polyprop,Material,per,Kg,,,,,,,,,,-,1,-,-
Z01A2502,Masterbatch Verge Brown UV Stabi For Nat.PP/GF PP mix per Kg,Masterbatch,Verge,Brown,UV,Stabi,For,Nat.PP/GF,PP,mix,per,Kg,,,,,,,-,1,-,-
Z01A2506,38mm x 120mm Heater Band 250w 240v with GF lead,38mm,x,120mm,Heater,Band,250w,240v,with,GF,lead,,,,,,,,-,1,-,-
Z01A2507,50mm x 25mm Heater Band175w 240v with GF Lead,50mm,x,25mm,Heater,Band175w,240v,with,GF,Lead,,,,,,,,,-,1,-,-
Z01A252,Fish St/Kit Printed Leaflet,Fish,St/Kit,Printed,Leaflet,,,,,,,,,,,,,,-,1,-,-
Z01A2528,Security tie loop 125mm for Easyfill Pro,Security,tie,loop,125mm,for,Easyfill,Pro,,,,,,,,,,,-,1,-,-
Z01A2531,ABS Material Jet (Sill Finisher) per kg,ABS,Material,Jet,(Sill,Finisher),per,kg,,,,,,,,,,,-,1,-,-
Z01A2532,Printed A2 Header Card for Hanging Basket Shipper,Printed,A2,Header,Card,for,Hanging,Basket,Shipper,,,,,,,,,,-,1,-,-
Z01A2548,P.V.C. Rigid Material Per kg,P.V.C.,Rigid,Material,Per,kg,,,,,,,,,,,,,-,1,-,-
Z01A2549,P.V.C. Crumb Material Per kg,P.V.C.,Crumb,Material,Per,kg,,,,,,,,,,,,,-,1,-,-
Z01A2550,Regrind Polyprop Green Material per kg,Regrind,Polyprop,Green,Material,per,kg,,,,,,,,,,,,-,1,-,-
Z01A2557,Copolymer Virgin Natural Poly Prop MFI 8 Per Kg,Copolymer,Virgin,Natural,Poly,Prop,MFI,8,Per,Kg,,,,,,,,,-,1,-,-
Z01A2558,Copolymer Virgin Natural Poly Prop MFI 35 Per Kg,Copolymer,Virgin,Natural,Poly,Prop,MFI,35,Per,Kg,,,,,,,,,-,1,-,-
Z01A2573,Polypropylene Erema Waste Shred Material per Kg,Polypropylene,Erema,Waste,Shred,Material,per,Kg,,,,,,,,,,,-,1,-,-
Z01A2574,ABS Hips Recycled Car Dashboard SEKUSEI P/P 75-80% Per kg,ABS,Hips,Recycled,Car,Dashboard,SEKUSEI,P/P,75-80%,Per,kg,,,,,,,,-,1,-,-
Z01A2575,Copolymer Virgin Polyprop MFI 10 Per Kg,Copolymer,Virgin,Polyprop,MFI,10,Per,Kg,,,,,,,,,,,-,1,-,-
Z01A2584,Sanding Blocks for Cab Jobs etc,Sanding,Blocks,for,Cab,Jobs,etc,,,,,,,,,,,,-,1,-,-
Z01A2585,Masterbatch Black for use with STY/ABS,Masterbatch,Black,for,use,with,STY/ABS,,,,,,,,,,,,-,1,-,-
Z01A2586,Hot Knife Blade Type R - injection,Hot,Knife,Blade,Type,R,-,injection,,,,,,,,,,,-,1,-,-
Z01A2587,Aluminium Trihydrate Portaflame SG200 Per Kg,Aluminium,Trihydrate,Portaflame,SG200,Per,Kg,,,,,,,,,,,,-,1,-,-
Z01A2589,Free Issue Easyverge Universal Dry Verge Label 560x170mm,Free,Issue,Easyverge,Universal,Dry,Verge,Label,560x170mm,,,,,,,,,,-,1,-,-
Z01A2590,Jazz PPT/PS Regrind Material (Heavies) Per Kg,Jazz,PPT/PS,Regrind,Material,(Heavies),Per,Kg,,,,,,,,,,,-,1,-,-
Z01A2591,Mixed Sink Material Per Kg,Mixed,Sink,Material,Per,Kg,,,,,,,,,,,,,-,1,-,-
Z01A2599,PP Mono (minimum 93% Polypropylene balance PE)  Per Kg,PP,Mono,(minimum,93%,Polypropylene,balance,PE),,Per,Kg,,,,,,,,-,1,-,-
z01a2610,10% Glass Filled Polyprop Natural Regrind Material Per Kg,10%,Glass,Filled,Polyprop,Natural,Regrind,Material,Per,Kg,,,,,,,,,-,1,-,-
Z01A2611,GPPS Crystal Natural Mfi 23 Material Per Kg,GPPS,Crystal,Natural,Mfi,23,Material,Per,Kg,,,,,,,,,,-,1,-,-
Z01A2612,Masterbatch Charcoal for PP Natural/PPGF Mix per Kg,Masterbatch,Charcoal,for,PP,Natural/PPGF,Mix,per,Kg,,,,,,,,,,-,1,-,-
Z01A2627,Charcoal Repro P/P (Verge Trim) Material Per Kg,Charcoal,Repro,P/P,(Verge,Trim),Material,Per,Kg,,,,,,,,,,-,1,-,-
Z01A2628,Masterbatch + UV Terracotta  for PP Natural/PPGF,Masterbatch,+,UV,Terracotta,,for,PP,Natural/PPGF,,,,,,,,,,-,1,-,-
Z01A2633,Masterbatch Universal Terracotta Material per Kg,Masterbatch,Universal,Terracotta,Material,per,Kg,,,,,,,,,,,,-,1,-,-
Z01A2634,Masterbatch Universal Green Material per Kg,Masterbatch,Universal,Green,Material,per,Kg,,,,,,,,,,,,-,1,-,-
Z01A2635,Masterbatch Universal Grey Material per Kg,Masterbatch,Universal,Grey,Material,per,Kg,,,,,,,,,,,,-,1,-,-
Z01A2639,Safe Home 50ml (RF Canner) FREE ISSUE,Safe,Home,50ml,(RF,Canner),FREE,ISSUE,,,,,,,,,,,-,1,-,-
Z01A2640,Goldfish Flake 12g (RF Canner) FREE ISSUE,Goldfish,Flake,12g,(RF,Canner),FREE,ISSUE,,,,,,,,,,,-,1,-,-
Z01A2644,Cable Tie Black 150mm x 7mm,Cable,Tie,Black,150mm,x,7mm,,,,,,,,,,,,-,1,-,-
Z01A2648,Polyprop Flake Blend Material Per Kgs,Polyprop,Flake,Blend,Material,Per,Kgs,,,,,,,,,,,,-,1,-,-
Z01A2649,Flat Poly Sheet 550x880mm 220g,Flat,Poly,Sheet,550x880mm,220g,,,,,,,,,,,,,-,1,-,-
Z01A2660,Calcium Oxide Material per Kg,Calcium,Oxide,Material,per,Kg,,,,,,,,,,,,,-,1,-,-
Z01A2661,Quick Release Coupling Hose Tail Series 300 MF308,Quick,Release,Coupling,Hose,Tail,Series,300,MF308,,,,,,,,,,-,1,-,-
Z01A2662,"Quick Release Coupling Female 1/4""BSP MF204-No Valve",Quick,Release,Coupling,Female,"1/4""BSP",MF204-No,Valve,,,,,,,,,,,-,1,-,-
